ra_j2000,dec_j2000,primary_name,gaiadr2_source_id,gaiaedr3_source_id,hip,hd,tic,2mass,wisea,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,gmag,bp_rp,radial_velocity,radial_velocity_error,ref_epoch,gaia_teff,gaia_teff_lower,gaia_teff_upper,gaia_radius,gaia_radius_lower,gaia_radius_upper,gaia_lum,gaia_lum_lower,gaia_lum_upper,spectrum_hires,spectrum_hires_resolution,spectrum_hires_nobs,spectrum_hires_snr,spectrum_harps,spectrum_harps_nobs,spectrum_harps_snr,spectrum_sophie,spectrum_sophie_nobs,spectrum_sophie_snr,spectrum_hermes,spectrum_hermes_snr,spectrum_hermes_nobs
238.1689210400862,42.4515174680292,1 Her,1384195086792268800,1384195086792268800,77760,142373,157364190,15524052+4227052,J155240.95+422712.1,238.17156439238,0.0608,42.45431545672,0.0739,62.9028,0.0807,438.839,0.08,629.541,0.099,4.424265,0.784468,-56.01,0.16,J2016.0,6073.0,5888.5,6158.0,1.6416836977005005,1.5966756343841553,1.7461707592010498,3.3028345108032227,3.2885117530822754,3.31715726852417,,,,,,,,,,,,,
126.1458923835362,-3.7512424989997,1 Hya,3066710282611675776,3066710282611675776,41211,70958,168975758,08243502-0345045,J082434.89-034504.6,126.14494794137,0.045,-3.75135791807,0.032,36.9674,0.061,-212.044,0.06,-25.969,0.059,5.468879,0.648508,96.87,5.64,J2016.0,6320.5,6246.0,6395.0,1.5511353015899658,1.5152051448822021,1.5883586406707764,3.4593920707702637,3.446709156036377,3.4720749855041504,,,,,,,,,,,,,
191.2475206828197,39.2789161469845,10 CVn,1521686782461765888,1521686782461765888,62207,110897,389853353,12445938+3916441,,191.24545542461,0.0197,39.27953401499,0.0174,56.9588,0.0323,-359.699,0.018,139.016,0.018,5.803025,0.756415,80.45,0.19,J2016.0,5967.75,5926.5,6026.33349609375,0.9827778339385986,0.9637630581855774,0.9965062141418457,1.1036920547485352,1.1017658710479736,1.1056182384490967,true,102700.0,3,139.8,,,,,,,,,
54.2182654350701,0.4016644716193,10 Tau,3263836568393943808,3263836568394170880,16852,22484,649766486,03365238+0024054,J033652.23+002400.9,54.21723179469,0.1306,0.39952459488,0.1093,71.837,0.1503,-232.563,0.164,-481.472,0.143,4.141093,0.757795,nan,nan,J2016.0,6082.33349609375,5830.0,6164.66650390625,,,,,,,true,71600.0,2,151.4,,,,,,,,,
74.9346751253041,15.9167324100169,101 Tau,3393284752392701312,3393284752392701312,23214,31845,389121767,04594432+1555002,J045944.38+155459.9,74.93506827868,0.0241,15.91660060912,0.0127,22.3771,0.0262,85.068,0.033,-29.655,0.021,6.644502,0.59449,41.72,0.54,J2016.0,6520.25,6444.5,6551.5,1.4123555421829224,1.3989139795303345,1.4457528591156006,3.2481775283813477,3.2326443195343018,3.2637107372283936,,,,,true,1,123.5,,,,,,
76.8625232015097,18.6450499366847,104 Tau,3407611182744289152,3407611182744289152,23835,32923,27136704,05072692+1838420,,76.86503115411,0.0897,18.64513194789,0.0566,62.8252,0.1094,534.674,0.111,18.449,0.083,4.732457,0.844065,20.58,0.15,J2016.0,5835.0,5700.0,6022.0,1.5503768920898438,1.4555847644805908,1.6246854066848755,2.510340929031372,2.4968111515045166,2.5238707065582275,true,71600.0,3,196.4,true,48,597.9,,,,,,
315.1410034667797,-4.7302596237905,11 Aqr,6912276699251278848,6912276699251278848,103682,199960,248854510,21003382-0443486,J210033.85-044350.1,315.1412210745,0.0209,-4.73087375776,0.0137,36.9971,0.0293,48.795,0.028,-138.18,0.021,6.063653,0.779556,-17.34,0.14,J2016.0,5920.0,5863.0,5967.0,1.3689217567443848,1.347441554069519,1.395668387413025,2.0736658573150635,2.0693469047546387,2.0779848098754883,true,71600.0,1,86.0,true,77,596.6,,,,,,
143.9145924739025,35.8101325142152,11 LMi,798068905726303232,798068905726303232,47080,82885,8915802,09353959+3548366,J093538.92+354834.4,143.91061083593,0.0692,35.80898121341,0.0601,89.0092,0.0937,-726.514,0.07,-259.057,0.062,5.200431,0.934127,14.39,0.17,J2016.0,5661.0,5488.0,6794.75,0.9361070394515991,0.6497777700424194,0.9960556626319885,0.8108085989952087,0.8083409070968628,0.8132762908935547,true,71600.0,1,95.0,,,,,,,true,193.1870708971247,1
81.1060970084435,17.3835351141963,111 Tau,3400292798990117888,3400292798990117888,25278,35296,47346402,05242545+1723006,J052425.63+172301.0,81.10726354597,0.0837,17.3835033119,0.0574,68.5908,0.104,250.483,0.108,-7.156,0.077,4.850188,0.708018,37.67,0.24,J2016.0,6171.0,6060.0,6327.25,1.192928433418274,1.1347377300262451,1.237030029296875,1.8592839241027832,1.8510682582855225,1.867499589920044,,,,,,,,,,,,,
80.9099146163007,17.324116905683,111 Tau B,3394298532176344960,3394298532176344960,25220,35171,47345026,05233836+1719267,J052338.57+171926.8,80.91108310812,0.02,17.32409154335,0.0139,68.7662,0.0246,250.984,0.027,-5.707,0.019,7.543094,1.348195,37.94,0.13,J2016.0,4628.66650390625,4576.0,4712.0,0.6723672747612,0.6487954258918762,0.6879332661628723,0.18695256114006042,0.18674258887767792,0.18716253340244293,,,,,true,7,216.2,,,,,,
30.0381647996728,3.0970140097748,112 Psc,2511794495013074048,2511794495013074048,9353,12235,422679659,02000916+0305490,J020009.33+030546.6,30.03919219178,0.0913,3.09587414051,0.0601,31.4492,0.0566,230.826,0.138,-256.471,0.051,5.736385,0.755619,-18.3,0.15,J2016.0,6020.5,5982.0,6041.0,1.7943328619003296,1.7821754217147827,1.8175036907196045,3.810930013656616,3.7951226234436035,3.826737403869629,true,71600.0,1,84.0,,,,,,,,,
249.0893737057231,-2.3245869507397,12 Oph,4358031335897026304,4358031335898505472,81300,149661,58092025,16362142-0219281,J163621.72-021932.2,249.09140230088,0.0357,-2.32596128152,0.0165,101.0719,0.0501,456.058,0.055,-309.224,0.04,5.553552,1.014609,-12.82,0.13,J2016.0,5265.0,5194.0,5391.5,0.8268442749977112,0.7884992361068726,0.849604070186615,0.473299115896225,0.4727135896682739,0.473884642124176,true,71600.0,1,99.0,true,27,352.5,,,,,,
