Name	S2D FEROS	SNR co-added FEROS
HD60491	-	257.7414735334793
10Tau	-	397.3820898222175
HD96167	-	156.02743796487457
15Peg	-	224.45484107686121
HD57703	-	822.9688783864005
HD28946	-	264.36828273149837
HD19019	-	375.7907919622152
HD28407	-	241.5174301045902
HD25463	-	315.86472014181055
13Ori	-	472.0923133724814
HD45067	-	175.76000059437715
HD3296	-	479.95259904880555
HD8389A	-	95.55824679374851
HD218687	-	475.1590469744762
HD48370	-	264.7167012631308
HD206860	-	291.35866396117
HD31253	-	301.54223924288056
