Name	S2D HARPS	SNR co-added HARPS
----	---------	------------------
HD984	8	346.6
HD1388	115	1085.0
HD1461	195	682.9
9 Cet	24	427.1
HD2567	22	233.6
HD2808	1	94.0
HD4271	1	54.9
HD4915	56	628.7
37Cet	20	789.5
HD7449	1	158.5
HD7895	1	95.5
HD8997	10	337.5
HD9986	51	540.5
chi Cet B	1	150.8
HD11226	42	606.6
HD11274	1	31.7
HD11505	21	481.5
HD11616	2	229.9
HD12264	17	422.0
66 Cet B	46	471.5
HD13997	7	238.2
29 Ari	17	515.4
HD15942	4	266.8
79 Cet	27	404.8
HD16160	122	318.2
84 Cet A	27	803.1
HD17617A	1	30.3
HD17925	45	482.3
HD18330	9	122.7
HD18632	4	146.6
HD18702	2	164.0
HD19034	21	382.1
HD19467	36	614.1
HD19518	12	361.8
HD19773	5	219.3
94 Cet	300	771.4
HD20278	1	123.1
HD20430	9	383.0
HD20439	8	332.8
HD20619	37	576.3
18 Eri	290	337.2
HD22403	1	200.2
HD22879	79	1564.1
HD23030	5	100.9
HD24496A	1	46.8
HD24916	24	223.6
HD25457	63	1368.0
HD25825	3	94.4
HD26257	2	180.5
HD26334	1	112.6
HD26767	1	124.3
HD26736	1	142.0
40 Eri	12	281.8
HD26913	6	373.5
HD26923	35	474.5
HD26874	1	121.5
HD26990	4	257.7
HD27063	36	458.9
55 Tau	1	153.7
HD27466	2	66.6
HD27406	1	172.6
HD27534	2	204.8
HD27731	1	115.4
HD27808	1	108.6
HD27887	1	114.9
70 Tau	1	188.1
HD28069	1	140.9
HD28033	1	96.0
HD28068	1	141.2
HD28185	16	360.0
HD28099	1	88.8
HD28192	11	163.0
HD28205	1	113.0
HD28237	1	133.6
HD28344	1	144.1
HD28343	3	105.3
HD28406	1	148.0
HD28483	1	92.9
HD28568	1	125.8
HD28608	1	119.3
HD28635	1	103.0
HD28807	4	163.4
HD28821	23	442.8
HD28969	6	118.4
HD28992	1	120.6
HD29225	1	123.6
HD29310	1	118.0
HD29836	1	87.6
HD29980	2	59.5
HD30562	3	260.2
HD30589	1	97.8
pi.03 Ori	37	1296.1
HD30738	1	135.4
HD31153	1	142.5
HD31822	54	784.7
101 Tau	1	123.5
HD32147	66	213.4
HD32724	26	576.2
HD32662	1	122.1
104 Tau	48	597.9
HD33313	1	106.0
HD33252	1	125.6
HD33725	22	338.4
HD34745	1	42.6
HD35041	1	139.0
111 Tau B	7	216.2
HD35850	5	283.0
HD36003	223	229.5
HD36379	79	1169.6
HD36395	22	69.3
HD38277	23	509.8
HD38677	102	750.9
HD38858	191	1049.4
HD39881	13	461.8
HD40397	35	586.1
HD40512	1	142.1
HD41593	13	279.1
HD42618	46	603.3
HD42807	13	299.6
74 Ori	1	179.9
HD43587	4	394.7
HD43989	10	425.4
HD43947	1	123.4
HD44219	61	286.1
HD44420	20	361.1
HD45088	2	264.6
HD45652	1	121.6
HD46375	300	284.0
HD49385	1	178.8
HD50281	1	63.7
HD50554	1	112.5
HD52265	82	739.3
HD52456	3	81.3
HD52919	7	174.8
HD54046	3	223.6
HD54351	9	288.3
HD55137	1	85.1
HD56274	158	956.5
HD59984	44	892.2
HD61383	58	399.2
HD62128	40	287.2
HD62816	7	221.0
HD64815	1	17.1
HD65277A	29	305.5
HD66221	21	343.2
HD66488	3	135.9
18 Pup	135	1600.3
HD68287	11	239.3
HD68168	8	410.5
HD68284	17	647.6
HD69611	11	875.0
HD69830	292	602.1
HD69965	2	58.2
HD70038	2	58.9
HD71479	29	502.7
HD72659	55	357.3
HD73350	4	480.8
HD74014	19	348.6
HD75302	14	476.1
HD75881	26	340.8
rhoCnc	20	221.8
HD76151	9	488.3
HD76766	1	118.0
HD77278	6	183.2
HD77447	1	79.6
HD78612	28	549.7
HD82106	1	140.4
HD82558	22	633.7
HD82943	100	757.9
HD83509	4	217.5
HD86133	6	303.8
HD87838	85	1133.3
HD88072	15	452.5
HD88725	71	762.5
HD89454	42	465.1
HD90081	6	127.2
HD90711	23	306.6
HD90905	22	730.3
HD91816	4	247.4
HD92547	10	244.0
HD92719	50	790.4
HD92788	44	374.0
HD93153	5	230.5
HD93489	24	402.8
HD94765	5	153.0
HD95922	3	87.1
HD96064	10	321.7
HD96937	6	239.9
HD97037	25	575.7
HD97658	1	125.7
HD98281	60	612.9
83 Leo B	87	275.3
HD100069	4	178.5
89 Leo	28	1105.3
24 Crt	85	1073.5
HD102195	11	296.4
5 Vir	4	222.4
HD103774	95	626.8
HD103847	5	110.3
HD106116	85	597.4
HD106515A	2	146.7
HD107148	102	447.8
HD109098	5	135.7
HD109271	76	340.2
HD110537	11	387.1
HD111031	37	451.2
HD111515	11	517.7
HD111631	8	76.5
38 Vir	135	2485.8
HD112283	6	136.8
HD114174	7	265.9
HD114783	67	315.7
HD115341	8	133.8
HD116941	1	133.4
HD117126	10	335.1
HD117190A	5	304.4
HD119638	25	643.4
HD119850	3	58.0
HD122603	3	265.5
HD124106	10	229.6
HD124292	35	519.6
HD125184	148	590.4
HD125455	28	396.1
HD126053	2	214.2
HD126583	1	119.4
HD129814	7	390.1
HD130322	36	349.7
HD132307	6	209.5
HD134088	37	768.5
HD135101A	25	422.2
HD136713	42	277.2
HD138573	14	401.5
HD138763	42	791.8
HD139590	22	364.4
HD139879	20	199.8
HD140283	2	440.1
23 Ser	65	582.3
HD141024	2	151.9
27 Ser	2	394.0
HD141128	6	152.2
HD142072	8	238.6
gam Ser	96	893.5
HD143436	15	340.8
HD144585	160	414.3
18 Sco	300	532.6
HD147512	29	462.7
HD148816	28	625.5
HD149143	24	366.9
HD149200	16	257.0
12 Oph	27	352.5
HD149724	9	118.0
HD149933	13	274.0
HD150177	41	1006.5
HD150433	81	836.7
HD150633	4	177.8
HD152391	105	568.2
HD152555	19	509.8
HD153631	4	273.0
HD154363	20	201.2
HD154417	12	578.1
HD154962	35	474.0
HD155712	4	162.2
HD157347	55	594.5
HD158809	2	148.3
HD161098	105	760.8
HD161555	9	178.3
HD163102	3	221.9
HD164595	1	162.7
HD164509	44	409.2
70 Oph A	29	253.2
HD168432A	4	260.4
HD168443	5	233.9
HD168746	44	411.1
HD168960	3	199.6
HD169822	27	172.4
HD170493	32	209.3
HD171488	4	345.2
HD173885	25	334.6
HD174080	2	117.3
HD177758	20	584.5
HD179079	219	375.9
HD179346	41	324.8
HD180263	3	79.9
HD180409	20	553.7
HD183263	4	258.6
HD183658	27	524.0
HD183870	1	149.5
HD184317	3	210.2
HD184768	6	285.9
HD186704	4	262.0
O Aql	5	296.0
HD188345	2	182.0
HD189733	32	334.9
HD190613	14	167.3
2 Cap	31	987.4
HD192263	33	306.8
HD192343	12	280.0
HD192344	12	318.6
HD195034	1	159.9
HD195019	29	425.5
HD195200	8	137.2
HD197076	72	702.3
HD197210	17	370.8
HD197197	24	739.4
HD198075	21	403.0
15 Del	16	815.5
HD199086	7	161.2
11 Aqr	77	596.6
HD200078	2	147.5
HD200779	4	68.8
HD201219	5	128.9
HD202605	5	192.0
HD203384	19	302.2
HD206116	11	179.9
HD206658	1	149.0
HD206860	19	531.4
HD206893	86	1581.2
HD207889	1	21.7
HD208704	38	621.9
HD209262	2	156.9
HD209458	12	325.6
HD209779	5	236.5
iot Peg B	15	541.8
HD210277	16	456.0
HD210752	32	691.8
HD211976	24	723.8
HD212291	3	155.9
HD213575	19	430.1
HD214686	24	549.5
HD215152	246	344.0
HD215257	30	591.5
HD216777	22	409.7
HD216899	40	76.0
51Peg	108	504.3
HD217786	27	229.6
HD219828	72	533.7
94 Aqr B	26	357.2
HD220339	15	361.3
HD220476	14	317.5
12 Psc	65	544.6
HD221356	36	870.2
HD221627	7	363.8
16 Psc	23	612.6
iot Psc	73	1048.0
HD222582	35	412.5
HD223238	33	506.0
HD223854	11	446.1
HD224383	38	497.2
HD224578	4	84.7
HD18894	4	92.0
HD10226	2	52.1
HD30809	1	100.2
HD5975	2	65.8
HD483	28	210.7
18Cet	12	453.5
HD3126	1	70.3
39Psc	1	80.0
HD361	6	415.5
HD8389A	4	69.0
77PscB	6	272.7
64Psc	6	266.8
HD3821A	6	390.8
HD26784	1	109.3
HD197623	8	156.0
