Name	S2D HERMES	SNR co-added HERMES
----	---------	------------------
HD55509	-	65.0
HD111238	-	163.2
HD148453	-	174.8
HD90343	-	207.2
HD59331	-	204.1
HD134228	-	182.3
HD42417	-	201.5
HD55575	-	183.9
HIP74674	-	164.9
HD149304	-	156.2
HD102211	-	161.3
HD60406	-	175.7
20LMi	-	201.4
HD113744	-	105.5
HIP80279	-	155.8
HD99739	-	199.7
HD59058	-	167.5
HD268518	-	167.9
pi.01UMa	-	155.8
72Her	-	192.9
HD219623	-	116.4
HD111997	-	130.8
HD37648	-	165.4
HD59432A	-	188.9
HD100831A	-	124.7
HD60912	-	171.9
HD108846	-	166.3
HD42807	-	43.8
HD123033	-	157.2
11LMi	-	193.2
HD113713	-	139.2
HD146990	-	167.7
HD105123	-	177.6
61UMa	-	204.1
HD111816	-	165.6
HD107658	-	118.4
2Ari	-	120.6
HD136160A	-	181.0
HD10780	-	190.5
HD154181	-	207.4
HD44966	-	207.4
HD130460	-	173.3
HD108944	-	199.4
HD119124	-	148.4
HD131023	-	159.8
GaiaEDR33946449911319493504	-	171.9
HD112196	-	181.0
HD145605	-	165.9
HD108807	-	144.4
HD74361	-	153.7
HD43403	-	170.8
HD145709	-	161.5
HD149973	-	174.0
