Name	S2D SOPHIE	SNR co-added SOPHIE
----	----------	-------------------
HD225097	22	208.4
HD225261	296	738.2
HD101	39	604.6
HD299	3	122.1
HD377	28	447.6
HD400	36	786.1
HD483	2	160.9
HD633	2	98.0
HD691	17	183.4
HD1326	133	113.5
HD1461	2	161.3
HD1562	41	533.3
HD1832	15	390.7
HD2330	4	135.4
HD2567	2	94.1
HD2550	31	194.8
HD2663	3	93.7
HD3079	1	151.1
HD3141	36	296.8
HD3268	30	583.6
HD3294	4	120.6
HD3412	7	138.5
HD3161	6	130.4
HD3628	3	76.1
HD3674	2	107.1
HD3440	20	425.0
HD3770	2	130.0
HD3765	51	314.7
HD3801	19	557.2
HD3894	9	139.6
HD4219	1	65.1
HD4075	3	101.3
HD4256	1	49.9
HD4243	4	161.0
HD4322	3	121.0
HD4702	4	119.5
HD4635	3	137.2
HD4899	2	63.6
HD4915	2	67.7
HD4903	12	199.6
HD4868	3	80.7
HD5065	2	262.0
HD5072	5	124.2
HD5015	52	810.0
HD5129	3	149.3
HD5372	48	512.9
HD5694	3	75.6
HD5703	4	87.8
HD5312	9	124.2
HD5996	4	84.2
HD6250	5	90.6
HD6374	3	99.5
HD6697	12	145.4
HD6664	32	231.1
HD6715	43	437.8
HD6963	8	138.6
HD7134	4	144.9
HD7193	18	524.8
HD7284	3	162.2
HD7449	2	130.7
HD7661	2	109.3
HD7590	3	180.2
HD7747	59	299.6
HD8004	19	484.9
HD8054	20	202.6
HD8117	3	90.7
HD8100	3	171.2
HD7924	74	467.4
HD8249	4	85.7
HD8262	29	447.8
HD8483	2	121.1
HD8523	16	250.5
HD8542	16	159.9
HD8648	35	429.3
HD8673	2	195.2
HD8745	6	107.6
HD8828	1	204.5
HD8941	1	143.7
HD8907	25	668.8
HD8730	22	238.7
HD8997	18	382.4
HD9091	1	44.1
HD9070	14	132.7
HD9224	31	514.6
HD9536	5	95.2
HD9407	298	736.8
HD9670	2	138.7
HD9616	4	192.2
HD9782	2	73.2
HD10008	2	55.2
HD9986	112	700.2
HD10126	28	412.8
HD10206	16	237.6
HD10211	28	333.6
HD10337	3	76.5
HD10145	1	37.6
HD10195	3	82.6
HD10230	4	149.7
HD10436	1	46.2
HD10556	36	268.7
HD10844	43	399.8
HD10757	20	351.1
HD10780	38	398.9
HD11007	49	921.3
HD11045	7	106.7
HD10790	9	158.7
HD11130	37	366.1
HD11226	1	73.4
HD11505	41	377.4
HD11474	1	44.3
HD11592	3	154.0
HD11616	3	79.4
HD11638	19	178.4
HD11850	6	193.5
HD11963	8	187.1
HD12264	2	85.5
HD12436	9	154.5
HD12536	12	158.9
HD12482	4	149.3
HD12569	7	125.3
HD12846	1	39.9
HD13043	1	127.5
HD13014	15	152.7
HD13382	1	34.0
HD13507	25	337.0
HD13403	67	651.7
HD13531	36	392.5
HD13540	10	177.6
HD13825	60	493.8
HD13836	4	77.4
HD13579	1	199.4
HD13997	5	95.1
HD13931	1	162.6
HD14082B	3	129.2
HD13829	1	168.9
HD14348	47	601.3
HD15029	4	142.4
HD15095	14	364.8
HD15210	9	141.5
HD15069	9	114.8
HD15389	2	50.1
HD15326	9	220.2
HD15397	72	413.4
HD15451	22	195.7
HD15632	3	123.0
HD15292	12	163.1
HD15777	7	162.5
HD15942	31	206.0
HD15830	56	427.9
HD15850	11	290.8
HD16160	1	171.7
HD16175	37	243.9
HD16397	2	76.5
HD16377	9	116.4
HD17250	13	264.6
HD17190	3	110.6
HD17397	1	237.8
HD17382	1	105.3
HD17290	9	122.3
HD17674	116	793.5
HD17591	4	151.5
HD18144	37	392.4
HD17948	36	877.9
HD18330	6	152.2
HD18450	7	84.4
HD18632	1	42.2
HD18702	5	86.1
HD18751	3	87.4
HD18768	4	111.5
HD19034	1	64.6
HD18757	54	664.0
HD18916	3	84.0
HD19103	3	83.5
HD19467	1	62.2
HD19308	20	402.8
HD19445	1	250.4
HD19256	65	602.4
HD19518	10	136.8
HD19769	1	129.9
HD19902	114	411.7
HD20065	7	109.2
