Name	S2D UVES	SNR co-added UVES
HD18894	-	63.91185494906612
HD136834	-	65.32544036494951
HD159307	-	322.415093680584
HD9562	-	156.0555405871723
HD72528	-	306.3001435465477
71Ori	-	283.7887282336494
40Cet	-	321.9255845716137
HD30809	-	231.187951656424
HD20385	-	193.81463665669315
111Tau	-	313.2416112897361
17Vir	-	13.210532986117682
10Tau	-	338.95281210866847
HD31412	-	293.48040123386687
15Peg	-	121.48190640376667
HD3861	-	307.6791574559947
HD98388	-	296.05047822949496
HD94280	-	294.88805946895366
HD12264	-	256.5468817249517
HD28946	-	221.5912491400051
HD117860	-	226.04705753577772
5Ser	-	270.1292301575234
HD361	-	317.7447894470679
HD162917	-	298.831893004593
HD154931	-	138.68431513644097
HD62323A	-	229.98595071835467
HD193017	-	197.5791689927823
HD45067	-	201.92223625474958
HD8389A	-	65.34975928693588
64Psc	-	204.19614536115813
HD189558	-	230.1329299615963
HD171918	-	197.47983734908973
43Com	-	215.43526444583077
HD48370	-	148.200147436359
HD208669	-	266.93151760624494
HD45759	-	197.45372946852805
HD97356	-	235.4217862339265
HD26784	-	268.12605033824167
HD165360A	-	216.50028973432651
HD28344	-	216.80518525752416
HD28205	-	245.0431166031828
HD16673	-	292.5995538333129
HD18975A	-	310.9927554771947
