object,ra,dec
85 Peg,0.5431196625046000,27.0818330846236996
HD225291A,1.2396804613201999,45.6737925276659027
HD166,1.6532666952449000,29.0215035260805010
HD483,2.3310151460869002,17.5339219679609997
HD1388,4.4952858232808000,-13.4556408662591007
HD1326,4.5953540832000002,44.0229549865521008
HD1461,4.6744486491336996,-8.0530010638606004
HD3193,8.8151968148616007,4.0932662995753004
54 Psc,9.8408558047264005,21.2504758066666994
HD3765,10.2052911894486993,40.1871730702233023
HD4256,11.2703914147794997,1.7855216142717001
HD4628,12.0957332295495004,5.2806137458205002
64 Psc,12.2446148226656994,16.9406456613900005
eta Cas B,12.2716327509963001,57.8178262412663031
eta Cas A,12.2762274762174997,57.8151772888099984
HD4635,12.4436793461101001,70.4494872777353009
HD4915,12.7951995400171992,-5.0392780972475002
HD5015,13.2674851644722995,61.1239720385260981
HD5294,13.7469582825835008,24.1002705682873000
HD6715,17.0520189552138994,21.9770091385120985
HD7438,18.5934621567936986,-7.9109033871463996
37 Cet,18.6001695667082991,-7.9228258237703999
HD7924,20.4963072108962017,76.7102884073774050
HD8389A,20.7609946327667991,-12.9660678620750005
HD8574,21.3021488760238000,28.5666952791263000
HD8765,21.5799555700646017,-4.6740447101039999
HD9224,22.8313532078568997,29.4130903423829011
HD9562,23.4284821526626992,-7.0253441086109998
HD9407,23.6386033050351010,68.9481359765662063
HD9986,24.4203293275359989,12.0783806512460004
HD10145,25.4072101414725999,66.9099425992407930
2 Ari,25.6240105213667988,20.2685126826972990
HD10436,25.9196831912000007,63.8233986508589979
HD10780,26.9368101494980010,63.8525030572971986
HD11007,27.1731778741989984,32.6902089228450023
HD12051,29.7776387485116985,33.2096831446174008
HD12661,31.1428672626105012,25.4143093596699998
HD12846,31.6260148857970016,24.3339920212800003
HD13043,31.8928033653252001,-0.6174192841700000
HD13825,33.8517231572498005,24.2712865879891986
HD13579,33.9273077465336002,67.6723124732939993
HD13931,34.1974113141961027,43.7729961700079002
HD15326,37.1908058548311971,29.6870235773471016
79 Cet,38.8330382285492988,-3.5606035952988000
HD16160,39.0204222348641991,6.8867732365938004
HD16377,39.6460790008167976,34.3658007523375986
13 Per,41.0499442308761004,49.2284485192149006
HD17190,41.5633593451918983,25.6499008901231988
HD18143A,43.9127475802586034,26.8732152427208000
51 Ari,45.6084430799009013,26.6092389992557017
HD19308,46.9141815520126002,36.6176215683827024
iot Per,47.2667470883369987,49.6132783481508994
HD20165,48.6967786961401004,8.9807932623103000
HD20427,49.6332408288371028,38.4586925548746024
HD20619,49.7578930954366001,-2.8431925371512001
96 Cet,49.8404017399050971,3.3701986055234001
HD21197,51.2488775605214997,-5.3637551015791001
18 Eri,53.2326853798278989,-9.4582609705181007
10 Tau,54.2182654350701014,0.4016644716193000
HD22879,55.0919386989767972,-3.2169789642736002
HD23030,55.4226946568898029,-2.8474991181999001
HD23439,56.7588063397387970,41.4272510743514033
HD24496A,58.6168055476754972,16.6160530928343988
